ECG_R_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_R_Onsets,ECG_T_Peaks,ECG_P_Onsets,ECG_T_Onsets,ECG_R_Offsets,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_LF,HRV_HF,HRV_LFHF,Label
18,18,18,18,18,18,18,18,472.63717471201215,754.4117647058823,255.75938961772752,0.33901829423012614,,,,1
11,11,11,11,11,11,11,11,77.18579831987938,1264.1666666666665,72.52370597721418,0.05736878521599013,,,,1
12,12,12,12,12,12,12,12,351.56396604632596,1210.8585858585857,301.31003716449914,0.24883998898256868,,,,1
14,14,14,14,14,14,14,14,696.0347531352271,841.2393162393163,463.74865666206745,0.5512684056841441,,,,1
16,16,16,16,16,16,16,16,428.1493181406909,861.8518518518518,341.7158092589105,0.3964901955303216,,,,1
12,12,12,12,12,12,12,12,448.97431117912015,1090.4040404040404,281.9365451448526,0.2585615374649412,,,,1
11,11,11,11,11,11,11,11,60.745257284654556,1267.7777777777778,47.19861428762664,0.03722940653712881,,,,0
22,22,22,22,22,22,22,22,421.64800134358177,621.4285714285716,248.51898177674676,0.39991560285913264,,,,0
15,15,15,15,15,15,15,15,46.944886964990594,926.7857142857144,44.2652255001243,0.047762093025182285,,,,0
14,14,14,14,14,14,14,14,47.188168549211625,1003.4188034188033,99.9044930118925,0.09956410291645164,,,,0
16,16,16,16,16,16,16,16,15.16008055150241,848.7037037037038,13.439830420810866,0.015835715529648412,,,,0
15,15,15,15,15,15,15,15,331.89862180595924,890.2777777777779,324.55819557852635,0.36455834760770506,,,,1
14,14,14,14,14,14,14,14,31.671539586087132,946.7948717948716,41.073652758597426,0.04338178625823426,,,,1
10,10,10,10,10,10,10,10,23.570226039551585,1305.8641975308642,23.34178271473243,0.01787458662153937,,,,1
12,12,12,12,12,12,12,12,32.77306934167248,1131.3131313131312,29.135986750163834,0.025754131145234106,,,,1
11,11,11,11,11,11,11,11,45.53070686349717,1266.6666666666667,35.54880337120827,0.028064844766743372,,,,1
11,11,11,11,11,11,11,11,15.49370419507548,1268.6111111111113,26.059510347683858,0.020541764232901657,,,,0
11,11,11,11,11,11,11,11,13.733700902028964,1194.1666666666665,27.945481413153235,0.0234016592433942,,,,0
12,12,12,12,12,12,12,12,398.6503077902167,1133.0808080808079,277.85680693972296,0.24522241040367798,,,,0
11,11,11,11,11,11,11,11,129.84770017237446,1352.2222222222222,101.80807139868841,0.07528945296534065,,,,0
12,12,12,12,12,12,12,12,402.979834375841,1085.8585858585857,387.02022179250366,0.3564186228600732,,,,0
13,13,13,13,13,13,13,13,44.76682323330306,1109.4907407407406,46.002646152683596,0.041462848191027156,,,,0
14,14,14,14,14,14,14,14,50.320475015259106,1033.7606837606838,134.2792744683888,0.12989396538074813,,,,0
13,13,13,13,13,13,13,13,368.03292287950586,1104.398148148148,260.70368582591493,0.23605951011694667,,,,0
12,12,12,12,12,12,12,12,381.700427101389,1066.919191919192,299.25177925111944,0.2804821410259013,,,,0
10,10,10,10,10,10,10,10,16.286165832720304,1324.3827160493827,17.0543893114758,0.012877236394589044,,,,0
10,10,10,10,10,10,10,10,56.19424534484423,1447.8395061728397,47.238105535049435,0.032626617338213634,,,,1
10,10,10,10,10,10,10,10,15.957118462605678,1395.0617283950617,11.848596196360873,0.008493241521285227,,,,1
13,13,13,13,13,13,13,13,72.10557791101209,1021.5277777777778,57.28525752335758,0.056078022320621965,,,,1
12,12,12,12,12,12,12,12,19.87615979999818,1117.171717171717,26.897673663067003,0.024076579499490356,,,,1
10,10,10,10,10,10,10,10,3.402069087198781,1388.8888888888887,1.9641855032959206,0.001414213562373063,,,,0
12,12,12,12,12,12,12,12,355.7009251437901,949.4949494949494,379.2207291165591,0.3993920444950995,,,,0
9,9,9,9,9,9,9,9,100.3685887891241,1484.375,105.1992472109787,0.07087107180529091,,,,0
10,10,10,10,10,10,10,10,65.17426781472265,1275.617283950617,69.66323558605532,0.05461139203939494,,,,0
16,16,16,16,16,16,16,16,808.3346969933405,820.9259259259258,441.1670662736413,0.5374017951449725,,,,1
20,20,20,20,20,20,20,20,458.2627143500895,678.9473684210525,238.0859960612296,0.35066929652429174,,,,1
18,18,18,18,18,18,18,18,698.2299600851383,783.0065359477125,388.63940702041447,0.4963424814200619,,0.011480203919034615,,1
15,15,15,15,15,15,15,15,12.635777300831188,908.333333333333,14.97861723788194,0.016490220812347096,,,,1
10,10,10,10,10,10,10,10,17.095185590404423,1354.938271604938,14.148802583274172,0.010442396439591873,,,,1
9,9,9,9,9,9,9,9,61.61409170227454,1444.0972222222224,51.31510146582557,0.03553438139494533,,,,1
13,13,13,13,13,13,13,13,8.90308210293139,1025.4629629629633,20.543722137595772,0.020033607140951176,,,,1
10,10,10,10,10,10,10,10,115.92023119369627,1371.9135802469134,72.5745206151856,0.05290021300184508,,,,1
11,11,11,11,11,11,11,11,84.53353812076818,1235.5555555555557,76.55341429390901,0.06195869861917096,,,,1
11,11,11,11,11,11,11,11,135.30562873999105,1280.2777777777778,136.76430568186268,0.10682393153714594,,,,1
12,12,12,12,12,12,12,12,34.51605459335349,1095.2020202020203,47.90504543601552,0.0437408300499473,,,,0
12,12,12,12,12,12,12,12,16.87371394276385,1114.3939393939395,14.262647723679734,0.01279856899745564,,,,0
9,9,9,9,9,9,9,9,117.89788724391322,1480.5555555555557,71.99292048283125,0.0486256123336196,,,,0
12,12,12,12,12,12,12,12,43.14953900158595,1133.0808080808083,42.463756249739234,0.03747637057030696,,,,0
14,14,14,14,14,14,14,14,38.21337914499337,1002.1367521367521,58.35707019426828,0.05823264147317177,,,,1
9,9,9,9,9,9,9,9,81.09425787077632,1505.9027777777778,56.31304031661021,0.03739487113484838,,,,1
12,12,12,12,12,12,12,12,49.59714249036803,1085.1010101010102,42.85837874333671,0.039497132842358236,,,,1
13,13,13,13,13,13,13,13,398.84179261094096,1076.1574074074072,334.4771166239634,0.31080687111540595,,,,1
12,12,12,12,12,12,12,12,38.09709816887489,1132.070707070707,36.24683120172171,0.032018168984790984,,,,0
10,10,10,10,10,10,10,10,77.35500175357956,1429.320987654321,51.89523647959393,0.03630761524376686,,,,0
12,12,12,12,12,12,12,12,495.99709402772777,1062.121212121212,421.78755536771735,0.39711809777845003,,,,0
10,10,10,10,10,10,10,10,18.941919023591513,1362.0370370370372,20.693978369099113,0.015193403561269232,,,,0
12,12,12,12,12,12,12,12,15.26514629337118,1129.5454545454547,28.901512393484676,0.025586852018376773,,,,0
11,11,11,11,11,11,11,11,23.09252576544429,1278.6111111111109,57.34838662560324,0.0448520946887186,,,,0
9,9,9,9,9,9,9,9,50.60262940097853,1528.4722222222222,45.46812166984055,0.029747430806256425,,,,0
9,9,9,9,9,9,9,9,30.824930930060926,1637.8472222222222,21.717355237655354,0.013259695375121353,,,,0
14,14,14,14,14,14,14,14,17.750268067297036,962.1794871794872,19.919412665780765,0.020702387580691536,,,,0
10,10,10,10,10,10,10,10,26.223899428471114,1277.1604938271603,26.74387613710402,0.02094010601358556,,,,0
12,12,12,12,12,12,12,12,25.046253508555246,1108.838383838384,25.178933171310916,0.02270748698665252,,,,0
12,12,12,12,12,12,12,12,593.0116429227804,1211.111111111111,464.01029682061534,0.38312776801702186,,0.04378101091888031,,1
